name,time,Kd,Ki,Kp,value
co2_start_at_03,1695742497265290534,0,0,0.02,642.8333333333334
co2_start_at_03,1695742517819453032,0,0,0.02,642.5
co2_start_at_03,1695742538352703978,0,0,0.02,642.3333333333334
co2_start_at_03,1695742558885575204,0,0,0.02,651.1666666666666
co2_start_at_03,1695742579409164178,0,0,0.02,665
co2_start_at_03,1695742599953127459,0,0,0.02,712.6666666666666
co2_start_at_03,1695742620499101813,0,0,0.02,828.6666666666666
co2_start_at_03,1695742641041307689,0,0,0.02,870.8333333333334
co2_start_at_03,1695742661583492985,0,0,0.02,975.1666666666666
co2_start_at_03,1695742682147254660,0,0,0.02,973.8333333333334
co2_start_at_03,1695742702551074261,0,0,0.02,1027.6666666666667
co2_start_at_03,1695742723073543606,0,0,0.02,1021.8333333333334
co2_start_at_03,1695742743637881116,0,0,0.02,1019.6666666666666
co2_start_at_03,1695742764158287412,0,0,0.02,1003.8333333333334
co2_start_at_03,1695742784702986741,0,0,0.02,970.3333333333334
co2_start_at_03,1695742805225424885,0,0,0.02,932.5
co2_start_at_03,1695742825757048933,0,0,0.02,923.1666666666666
co2_start_at_03,1695742846316375291,0,0,0.02,935.6666666666666
co2_start_at_03,1695742866865910839,0,0,0.02,837
co2_start_at_03,1695742887471784337,0,0,0.02,828.8333333333334
co2_start_at_03,1695742908017413564,0,0,0.02,826.6666666666666
co2_start_at_03,1695742928567101884,0,0,0.02,824
co2_start_at_03,1695742949164310710,0,0,0.02,824.8333333333334
co2_start_at_03,1695742969711479413,0,0,0.02,827.8333333333334
co2_start_at_03,1695742990260353173,0,0,0.02,842.8333333333334
co2_start_at_03,1695743010861472716,0,0,0.02,854.6666666666666
co2_start_at_03,1695743031401668925,0,0,0.02,877.8333333333334
co2_start_at_03,1695743052000259541,0,0,0.02,884.6666666666666
co2_start_at_03,1695743072589298577,0,0,0.02,894.3333333333334
co2_start_at_03,1695743093031034353,0,0,0.02,899
co2_start_at_03,1695743113567392449,0,0,0.02,907
co2_start_at_03,1695743134119887772,0,0,0.02,907.3333333333334
co2_start_at_03,1695743154718121169,0,0,0.02,907.5
co2_start_at_03,1695743175263404310,0,0,0.02,906
co2_start_at_03,1695743195831505650,0,0,0.02,905
co2_start_at_03,1695743216420027089,0,0,0.02,897
co2_start_at_03,1695743236982909757,0,0,0.02,892.1666666666666
co2_start_at_03,1695743257571400507,0,0,0.02,890.5
co2_start_at_03,1695743278148785509,0,0,0.02,888.6666666666666
co2_start_at_03,1695743298699001759,0,0,0.02,886.1666666666666
co2_start_at_03,1695743319282098619,0,0,0.02,883.6666666666666
co2_start_at_03,1695743339839877544,0,0,0.02,882.8333333333334
co2_start_at_03,1695743360364065969,0,0,0.02,881
co2_start_at_03,1695743380948086456,0,0,0.03,880.5
co2_start_at_03,1695743401505536121,0,0,0.03,880.8333333333334
co2_start_at_03,1695743422044863989,0,0,0.03,881.3333333333334
co2_start_at_03,1695743442567753048,0,0,0.03,883.6666666666666
co2_start_at_03,1695743463104868697,0,0,0.03,889.8333333333334
co2_start_at_03,1695743483652960213,0,0,0.03,899.1666666666666
co2_start_at_03,1695743504249576900,0,0,0.03,907.1666666666666
co2_start_at_03,1695743524808292745,0,0,0.03,913
co2_start_at_03,1695743545357342310,0,0,0.03,924.5
co2_start_at_03,1695743565935338800,0,0,0.03,945
co2_start_at_03,1695743586510268951,0,0,0.03,938.5
co2_start_at_03,1695743607077985840,0,0,0.03,940.5
co2_start_at_03,1695743627650633214,0,0,0.03,941.6666666666666
co2_start_at_03,1695743648195136515,0,0,0.03,940.8333333333334
co2_start_at_03,1695743668730959078,0,0,0.03,937.5
co2_start_at_03,1695743689320605567,0,0,0.03,930.5
co2_start_at_03,1695743709858457782,0,0,0.03,924.8333333333334
co2_start_at_03,1695743730355069956,0,0,0.03,918.6666666666666
co2_start_at_03,1695743750867152789,0,0,0.03,918
co2_start_at_03,1695743771424870758,0,0,0.03,912.1666666666666
co2_start_at_03,1695743791950117450,0,0,0.03,937
co2_start_at_03,1695743812491577294,0,0,0.03,943.8333333333334
co2_start_at_03,1695743833090758222,0,0,0.03,949.5
co2_start_at_03,1695743853589098680,0,0,0.03,950.3333333333334
co2_start_at_03,1695743874126339846,0,0,0.03,952.3333333333334
co2_start_at_03,1695743894659208313,0,0,0.03,951
co2_start_at_03,1695743915193220124,0,0,0.03,951
co2_start_at_03,1695743935726376975,0,0,0.03,924.5
co2_start_at_03,1695743956248981604,0,0,0.03,916.1666666666666
co2_start_at_03,1695743976790357606,0,0,0.03,923.5
co2_start_at_03,1695743997345295065,0,0,0.03,922.6666666666666
co2_start_at_03,1695744017875726009,0,0,0.03,934.1666666666666
co2_start_at_03,1695744038414909954,0,0,0.03,932.6666666666666
co2_start_at_03,1695744058938116390,0,0,0.03,913.6666666666666
co2_start_at_03,1695744079513092640,0,0,0.03,912.6666666666666
co2_start_at_03,1695744100048299922,0,0,0.03,910.6666666666666
co2_start_at_03,1695744120599323942,0,0,0.03,908.6666666666666
co2_start_at_03,1695744141210504819,0,0,0.03,908.3333333333334
co2_start_at_03,1695744161732713003,0,0,0.03,910.3333333333334
co2_start_at_03,1695744182297270645,0,0,0.03,896.5
co2_start_at_03,1695744202878113723,0,0,0.03,913.5
co2_start_at_03,1695744223434894691,0,0,0.03,916.1666666666666
co2_start_at_03,1695744243963568650,0,0,0.03,902.5
co2_start_at_03,1695744264500136920,0,0,0.03,937.6666666666666
co2_start_at_03,1695744285069601353,0,0,0.04,926.8333333333334
co2_start_at_03,1695744305621164531,0,0,0.04,914.6666666666666
co2_start_at_03,1695744326143022765,0,0,0.04,934.1666666666666
co2_start_at_03,1695744346737371530,0,0,0.04,938.6666666666666
co2_start_at_03,1695744367282672081,0,0,0.04,941.8333333333334
co2_start_at_03,1695744387782663190,0,0,0.04,943.6666666666666
co2_start_at_03,1695744408315550109,0,0,0.04,944.3333333333334
co2_start_at_03,1695744428866252328,0,0,0.04,944.1666666666666
co2_start_at_03,1695744449408407738,0,0,0.04,944.1666666666666
co2_start_at_03,1695744469929284164,0,0,0.04,945.6666666666666
co2_start_at_03,1695744490470583703,0,0,0.04,946.1666666666666
co2_start_at_03,1695744511015235516,0,0,0.04,946.5
co2_start_at_03,1695744531606290488,0,0,0.04,946.6666666666666
co2_start_at_03,1695744552151683373,0,0,0.04,946.1666666666666
co2_start_at_03,1695744572685316086,0,0,0.04,944.5
co2_start_at_03,1695744593227818853,0,0,0.04,943.3333333333334
co2_start_at_03,1695744613768854676,0,0,0.04,943.1666666666666
co2_start_at_03,1695744634316808197,0,0,0.04,943.1666666666666
co2_start_at_03,1695744654895596541,0,0,0.04,943.1666666666666
co2_start_at_03,1695744675422793787,0,0,0.04,960.5
co2_start_at_03,1695744695975640242,0,0,0.04,943.3333333333334
co2_start_at_03,1695744716572790197,0,0,0.04,943
co2_start_at_03,1695744737107964758,0,0,0.04,942.8333333333334
co2_start_at_03,1695744757650711183,0,0,0.04,941.5
co2_start_at_03,1695744778237008842,0,0,0.04,941
co2_start_at_03,1695744798788186874,0,0,0.04,941
co2_start_at_03,1695744819359347905,0,0,0.04,943.8333333333334
co2_start_at_03,1695744839947745709,0,0,0.04,944.6666666666666
co2_start_at_03,1695744860497534822,0,0,0.04,945.1666666666666
co2_start_at_03,1695744881055325728,0,0,0.04,946
co2_start_at_03,1695744901639611850,0,0,0.04,946.3333333333334
co2_start_at_03,1695744922205224869,0,0,0.04,947.3333333333334
co2_start_at_03,1695744942727484868,0,0,0.04,932
co2_start_at_03,1695744963254886605,0,0,0.04,948.3333333333334
co2_start_at_03,1695744983838426968,0,0,0.04,949.3333333333334
co2_start_at_03,1695745004365470703,0,0,0.04,949.5
co2_start_at_03,1695745024958407650,0,0,0.04,950.6666666666666
co2_start_at_03,1695745045325025211,0,0,0.04,952
co2_start_at_03,1695745065865064683,0,0,0.04,955.3333333333334
co2_start_at_03,1695745086460445411,0,0,0.04,956.3333333333334
co2_start_at_03,1695745107015204783,0,0,0.04,957
co2_start_at_03,1695745127559089213,0,0,0.04,957.1666666666666
co2_start_at_03,1695745148133426093,0,0,0.04,957.1666666666666
co2_start_at_03,1695745168664854088,0,0,0.05,957.1666666666666
co2_start_at_03,1695745189215172183,0,0,0.05,943.8333333333334
co2_start_at_03,1695745209769216021,0,0,0.05,960
co2_start_at_03,1695745230324826296,0,0,0.05,960.5
co2_start_at_03,1695745250858389544,0,0,0.05,945.3333333333334
co2_start_at_03,1695745271429626024,0,0,0.05,962.1666666666666
co2_start_at_03,1695745291971981099,0,0,0.05,963.1666666666666
co2_start_at_03,1695745312505000342,0,0,0.05,966.6666666666666
co2_start_at_03,1695745332999781683,0,0,0.05,953.3333333333334
co2_start_at_03,1695745353595059210,0,0,0.05,987
co2_start_at_03,1695745374130179484,0,0,0.05,987.5
co2_start_at_03,1695745394709459233,0,0,0.05,990.8333333333334
co2_start_at_03,1695745415265393159,0,0,0.05,991.8333333333334
co2_start_at_03,1695745435784827689,0,0,0.05,975.5
co2_start_at_03,1695745456368292526,0,0,0.05,973
co2_start_at_03,1695745476954582951,0,0,0.05,985.5
co2_start_at_03,1695745497520998289,0,0,0.05,963.5
co2_start_at_03,1695745517987767510,0,0,0.05,959.1666666666666
co2_start_at_03,1695745538578699621,0,0,0.05,939.1666666666666
co2_start_at_03,1695745559131560765,0,0,0.05,902.1666666666666
co2_start_at_03,1695745579722622065,0,0,0.05,966.3333333333334
co2_start_at_03,1695745600265676965,0,0,0.05,950.3333333333334
co2_start_at_03,1695745620831028874,0,0,0.05,954.5
co2_start_at_03,1695745641411705206,0,0,0.05,968.6666666666666
co2_start_at_03,1695745661972679989,0,0,0.05,975.6666666666666
co2_start_at_03,1695745682506367160,0,0,0.05,987.1666666666666
co2_start_at_03,1695745703046071710,0,0,0.05,991.5
